g2p id,gene symbol,gene mim,hgnc id,previous gene symbols,disease name,disease mim,disease MONDO,allelic requirement,cross cutting modifier,confidence,variant consequence,variant types,molecular mechanism,molecular mechanism categorisation,molecular mechanism evidence,phenotypes,publications,panel,comments,date of last review
G2P00001,HMX1,142992,5017,H6; NKX5-3,HMX1-related oculoauricular syndrome,612109,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0000647; HP:0004328; HP:0000639; HP:0000482; HP:0000568; HP:0000505; HP:0000007; HP:0000589; HP:0008572; HP:0001104; HP:0000556; HP:0007906; HP:0000518,18423520; 25574057; 29140751,DD; Eye,,2019-09-26 16:23:46+00:00
G2P00008,YAP1,606608,16262,YAP-1; YAP65,"YAP1-related coloboma, ocular, with or without hearing impairment, cleft lip/palate, and/or intellectual developmental disorder",120433,,monoallelic_autosomal,,strong,absent gene product,,loss of function,inferred,,HP:0000407; HP:0003829; HP:0002006; HP:0001249; HP:0000612; HP:0000568; HP:0000790; HP:0000006; HP:0000175; HP:0000567; HP:0000518,24462371; 27267789,DD; Eye,,2017-05-12 10:48:00+00:00
G2P00009,BBS9,607968,30000,B1; PTHB1,BBS9-related Bardet-Biedl syndrome,615986,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0007707; HP:0001773; HP:0001162; HP:0000750; HP:0001513; HP:0000135; HP:0000518; HP:0001159; HP:0001712; HP:0002251; HP:0008734; HP:0000678; HP:0001263; HP:0000822; HP:0003812; HP:0000505; HP:0000007; HP:0002099; HP:0000510; HP:0000501; HP:0002370; HP:0001829; HP:0001080; HP:0001007; HP:0000077; HP:0000668; HP:0009806; HP:0000639; HP:0010442; HP:0001156; HP:0000483; HP:0000365; HP:0002167; HP:0001251; HP:0000545; HP:0001328; HP:0000218; HP:0000819; HP:0000137; HP:0003828; HP:0001395; HP:0000054; HP:0000256; HP:0001249; HP:0000486; HP:0009466; HP:0000148; HP:0002141; HP:0000556,16380913; 22353939,DD; Eye,,2025-01-21 22:09:55+00:00
G2P00010,TRIM32,602290,16380,BBS11; HT2A; LGMD2H; TATIP,TRIM32-related Bardet-Biedl syndrome,615988,,biallelic_autosomal,,limited,uncertain,,undetermined,inferred,,HP:0007707; HP:0001773; HP:0001162; HP:0000750; HP:0001513; HP:0000135; HP:0000518; HP:0001159; HP:0001712; HP:0002251; HP:0008734; HP:0000678; HP:0001263; HP:0000822; HP:0000007; HP:0002099; HP:0000510; HP:0000501; HP:0002370; HP:0001829; HP:0001080; HP:0001007; HP:0000077; HP:0000668; HP:0009806; HP:0000639; HP:0001156; HP:0000483; HP:0000365; HP:0002167; HP:0001251; HP:0000545; HP:0001328; HP:0000218; HP:0000819; HP:0000137; HP:0001395; HP:0000054; HP:0000256; HP:0001249; HP:0000486; HP:0009466; HP:0000148; HP:0002141; HP:0000556,16606853,DD; Eye,,2025-01-21 22:12:35+00:00
G2P00011,PAX2,167409,8616,PAX-2,PAX2-related papillorenal syndrome,120330,,monoallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0000480; HP:0000588; HP:0002171; HP:0001144; HP:0003774; HP:0004712; HP:0000076; HP:0012019; HP:0000089; HP:0000787; HP:0000518; HP:0000541; HP:0007099; HP:0000006; HP:0000969; HP:0000533; HP:0011509; HP:0001250; HP:0000003; HP:0000608; HP:0000407; HP:0001249; HP:0000085; HP:0000568; HP:0000093,9760197; 3377002; 11461952; 2644560; 7795640; 11093271; 9106533,DD; Eye,,2015-07-22 16:14:08+00:00
G2P00012,FGFR3,134934,3690,ACH; CD333; CEK2; JTK4,FGFR3-related lacrimo-auriculo-dento-digital syndrome (LADD) ,149730,,monoallelic_autosomal,,definitive,altered gene product structure,missense_variant; inframe_deletion; inframe_insertion,undetermined,inferred,,HP:0007892; HP:0007900; HP:0007732; HP:0006297; HP:0000410; HP:0000680; HP:0000337; HP:0010055; HP:0009740; HP:0000006; HP:0000104; HP:0011065; HP:0009741; HP:0000670; HP:0002984; HP:0000629; HP:0000668; HP:0009462; HP:0000579; HP:0004209; HP:0000494; HP:0001092; HP:0005707; HP:0000378; HP:0001245; HP:0003022; HP:0008743; HP:0100258; HP:0000217; HP:0000974; HP:0001233; HP:0000316; HP:0007656; HP:0009944; HP:0000198; HP:0000620; HP:0003974; HP:0100583,28483234; 16501574,DD; Eye; Skeletal,,2024-08-22 18:59:21+00:00
G2P00015,FLNB,603381,3755,ABP-278; FH1; FLN1L; LRS1; TABP; TAP,FLNB-related spondylocarpotarsal synostosis syndrome,272460,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0002650; HP:0003422; HP:0008368; HP:0006297; HP:0000410; HP:0000455; HP:0003305; HP:0000175; HP:0000107; HP:0008456; HP:0000470; HP:0000518; HP:0000283; HP:0002091; HP:0000007; HP:0003307; HP:0001763; HP:0004209; HP:0007961; HP:0003196; HP:0002750; HP:0009702; HP:0003311; HP:0002644; HP:0000384; HP:0002948; HP:0000316; HP:0002656; HP:0003521,14991055; 18386804; 18257094; 29566257; 33407338; 33916386; 37781000,DD; Eye; Skeletal,,2023-05-24 09:07:25+00:00
G2P00018,AGPS,603051,327,ADAP-S; ADAS; ADHAPS; ADPS; ALDHPSY,AGPS-related rhizomelic chondrodysplasia punctata,600121,,biallelic_autosomal,,definitive,uncertain,,undetermined,inferred,,HP:0003097; HP:0001508; HP:0008905; HP:0000007; HP:0010655; HP:0005792; HP:0008873; HP:0000518,7807941; 11152660,DD; Eye; Skeletal,,2023-05-24 09:07:26+00:00
G2P00025,RPGRIP1,605446,13436,CORD13; LCA6; RGI1; RPGRIP,RPGRIP1-related Leber congenital amaurosis,613826,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0000550; HP:0011463; HP:0000007; HP:0000563; HP:0008499; HP:0001141; HP:0000613; HP:0007843; HP:0000556; HP:0012043; HP:0000518,11528500; 11283794,DD; Eye,,2025-01-27 10:43:36+00:00
G2P00029,LAMA1,150320,6481,LAMA,LAMA1-related cerebellar dysplasia with cysts with or without retinal dystrophy,615960,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0001288; HP:0001760; HP:0000657; HP:0001155; HP:0011398; HP:0004209; HP:0000496; HP:0001317; HP:0000733; HP:0002334; HP:0011297; HP:0001371; HP:0002186; HP:0001251; HP:0002418; HP:0011844; HP:0001167; HP:0002817,25105227; 21937992; 27095636; 29167897; 33083009; 34423300; 35224822; 35535551; 35616092,DD; Eye,,2015-07-22 16:14:10+00:00
